rank,iso3,country,c_j_total,c_elec,c_hw,c_constr,pue,p_E,theta_summer,p_L,cost_source,elec_source
67,SVN,Slovenia,1.533721660631063,.121519755,1.358060906315526,.0541409993155373,1.18095,.147,21.73,10.17,predicted,Eurostat
28,SWE,Sweden,1.475168871986908,.051680937,1.358060906315526,.0654270286713819,1.08255,.0682,15.17,12.29,DCCI,Eurostat
54,THA,Thailand,1.509343481805677,.09788688,1.358060906315526,.0533956954901513,1.2948,.108,29.32,10.03,predicted,"Climatescope/BloombergNEF 2025, industrial 2024"
12,TJK,Tajikistan,1.454403329185706,.05737368,1.358060906315526,.0389687428701802,1.1076,.074,16.84,7.32,predicted,"Barki Tojik 2024, std industrial rate"
2,TKM,Turkmenistan,1.416622208790999,.00937125,1.358060906315526,.0491900524754734,1.33875,.01,32.25,9.24,predicted,"CEIC/OECD est. 2020, heavily subsidized"
34,TUR,Turkey,1.487871665132166,.07354032,1.358060906315526,.05627043881664,1.2216,.086,24.44,10.57,predicted,Eurostat
16,UKR,Ukraine,1.457953462017709,.047401872,1.358060906315526,.0524906837021827,1.1922,.0568,22.48,9.859999999999999,predicted,Eurostat
32,USA,United States of America,1.483690081870245,.068240781,1.358060906315526,.057388394554719,1.1991,.0813,22.94,10.78,DCCI,EIA
22,UZB,Uzbekistan,1.467366102876101,.064746675,1.358060906315526,.0445585215605749,1.30275,.071,29.85,8.369999999999999,predicted,"Ministry of Energy 2024, 900 UZS/kWh"
24,VNM,Vietnam,1.469840466389676,.065144835,1.358060906315526,.0466347250741501,1.27485,.073,27.99,8.76,predicted,"EVN Vietnam 2024, industrial peak/off-peak avg"
10,XKX,Kosovo,1.446857822491661,.0383292,1.358060906315526,.0504677161761351,1.17,.0468,21,9.48,predicted,Eurostat
9,ZAF,South Africa,1.446188413593646,.0338268,1.358060906315526,.05430070727812,1.2081,.04,23.54,10.2,DCCI,"Climatescope/BloombergNEF 2025, Eskom Megaflex avg"
