iso3,country,rank_raw,rank_cr,delta_rank,c_j_raw,c_j_cr,p_E,p_E_cr,pue_calc,theta,c_elec,c_elec_cr,c_hardware,c_network,c_construct,dc_cap_mw,omega,k_bar,bloc,sanctioned,is_exporter_0,export_pct_0,is_exporter_b,export_pct_b,inf_source,P_I_best,P_I_domestic,imports_inf,lambda_min_k,lambda_star_k,lambda_usa,p_bilat_usa,regime,is_dom_train,is_dom_inf,welfare_train_k,welfare_inf_k,rank_orig,c_j_total_csv,c_j_elec_csv,c_j_hw_csv,c_j_constr_csv,pue,p_L,cost_source,n_datacenters,source_tier,cr_adjusted,subsidy_gap,total_dc,eu,apec_cbpr,depa,export_share_0,hhi_T_0,export_share_b,hhi_T_b,inf_rev_share,hhi_I,welfare_train,welfare_inf,weighted_avg_cost,is_inf_exporter,developing,c_j_baseline,rank_baseline,c_j_low_hw,rank_low_hw,c_j_high_hw,rank_high_hw
AZE,Azerbaijan,19,11,8,1.613063866129961,1.613063866129961,.062,.062,1.221,24.4,.0529914,.0529914,1.358060906315526,.15,.0520115598144346,10,.0000808093868184,87660000,N,0,0,,0,,AZE,1.619516121594481,1.619516121594481,0,.035,.0131868411174623,.045,1.685651740105809,DD,1,1,2.79529217283e-06,0,19,1.46308,.053,1.35806,.05201,1.221,9.77,predicted,1,3,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0002020234670459,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,0,1.613063866129961,11,1.555002959814435,11,1.675002959814434,11
RUS,Russia,8,12,-4,1.594265389394087,1.613672889394087,.04,.065,1.1085,16.9,.031052,.0504595,1.358060906315526,.15,.0551524830785611,2000,.0161618773636746,17532000000,C,1,0,,0,,RUS,1.668679770847753,1.668679770847753,0,.025,.0135693767194951,,,DD,1,1,.0005689013938726,0,8,1.44426,.03104,1.35806,.05515,1.109,10.36,predicted,251,2,1,25,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.613672889394087,12,1.555611983078561,12,1.675611983078561,12
NOR,Norway,20,13,7,1.615026366837239,1.615026366837239,.0541,.0541,1.08,14.5,.0408996,.0408996,1.358060906315526,.15,.0660658605217127,400,.0032323754727349,3506400000,W,0,0,,0,,NOR,1.621486472304588,1.621486472304588,0,.025,.014419513880177,.025,1.65540202600817,DD,1,1,.0001181552260647,0,20,1.46503,.0409,1.35806,.06607,1.08,12.41,DCCI,47,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,.0024242816045512,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,0,1.615026366837238,13,1.556965460521712,13,1.676965460521712,13
DZA,Algeria,6,14,-8,1.585337123738904,1.616495523738904,.033,.065,1.392,35.8,.0321321,.0632905,1.358060906315526,.15,.0451441174233782,25,.0002020234670459,219150000,N,0,0,,0,,DZA,1.616573115524044,1.616573115524044,0,.035,.0153423108453559,.045,1.689237822307155,DD,1,1,7.68150579995e-06,0,6,1.43535,.03214,1.35806,.04514,1.391,8.48,predicted,5,3,1,32,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.616495523738904,14,1.558434617423378,14,1.678434617423378,14
FIN,Finland,23,15,8,1.617494904986908,1.617494904986908,.0571,.0571,1.101,16.4,.04400697,.04400697,1.358060906315526,.15,.0654270286713818,350,.002828328538643,3068100000,W,0,0,,0,,FIN,1.617572544742348,1.617572544742348,0,0,.0159700354823018,.025,1.657932277611581,IE,0,1,.000110367659704,0,23,1.46748,.04399,1.35806,.06543,1.101,12.29,DCCI,48,2,0,,123748,1,0,0,0,.9958317567941819,0,.9954332500476588,.0014949736561399,.259057001183021,.0536757609503397,.0436109611068962,1.632148445499952,1,0,1.617494904986908,15,1.559433998671382,15,1.679433998671382,15
VNM,Vietnam,24,16,8,1.619848131389676,1.619848131389676,.073,.073,1.275,28,.0651525,.0651525,1.358060906315526,.15,.0466347250741501,250,.0020202346704593,2191500000,N,0,0,,0,,VNM,1.643394243827557,1.643394243827557,0,.035,.0174481282444783,.045,1.692741297302212,DD,1,1,.000083588112212,0,24,1.46984,.06514,1.35806,.04663,1.275,8.76,predicted,33,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.619848131389676,16,1.56178722507415,16,1.68178722507415,16
BRA,Brazil,26,17,9,1.621076092907663,1.621076092907663,.063,.063,1.2645,27.3,.0557865,.0557865,1.358060906315526,.15,.0572286865921363,1200,.0096971264182047,10519200000,N,0,0,,0,,BRA,1.665493577853333,1.665493577853333,0,.035,.0182194271852989,.045,1.694024517088507,DD,1,1,.0004131306366944,0,26,1.47108,.05579,1.35806,.05723,1.265,10.75,DCCI,197,2,0,,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.621076092907662,17,1.563015186592136,17,1.683015186592136,17
TKM,Turkmenistan,2,18,-16,1.566623958791,1.622861958791,.01,.07,1.338,32.2,.009373,.065611,1.358060906315526,.15,.0491900524754734,5,.0000404046934092,43830000,C,1,0,,0,,KGZ,1.6289838104552,1.629353406626164,1,.025,.0193411532688041,,,DD,1,0,1.79353501638e-06,1.49334199730e-08,2,1.41662,.00937,1.35806,.04919,1.339,9.24,predicted,1,3,1,60.00000000000001,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.622861958790999,18,1.564801052475473,18,1.684801052475473,18
EGY,Egypt,5,19,-14,1.584084564799061,1.623215964799061,.038,.08,1.3305,31.7,.0354046,.074536,1.358060906315526,.15,.0406190584835349,150,.0012121408022756,1314900000,N,0,0,,0,,EGY,1.623319850620808,1.623319850620808,0,.035,.0195635091448334,.045,1.696260683215019,DD,1,1,.000054235155618,0,5,1.43409,.03541,1.35806,.04062,1.331,7.63,predicted,15,2,1,42,123748,0,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,1,1.623215964799061,19,1.565155058483535,19,1.685155058483535,19
SWE,Sweden,28,20,8,1.625190354986908,1.625190354986908,.0682,.0682,1.083,15.2,.05170242,.05170242,1.358060906315526,.15,.0654270286713818,500,.0040404693409186,4383000000,W,0,0,,0,,SWE,1.630507977828425,1.630507977828425,0,0,.0208036498482251,.025,1.665820113861581,ID,0,1,.000188761315081,0,28,1.47517,.05168,1.35806,.06543,1.083,12.29,DCCI,95,2,0,,123748,1,0,0,0,.9958317567941819,0,.9954332500476588,,,.0536757609503397,.0436109611068962,1.632148445499952,0,0,1.625190354986908,20,1.567129448671382,20,1.687129448671382,20
