iso3,country,pue,p_E,c_elec,c_hardware,c_construction,c_j_total,theta_summer_C,p_L_usd_per_W,rank_symmetric
NLD,Netherlands,1.1385,0.16372,0.13048,1.36,0.05755,1.54802,18.9,10.81,67
EST,Estonia,1.128,0.16853,0.13307,1.36,0.05957,1.55264,18.2,11.19,68
ROU,Romania,1.1865,0.17414,0.14463,1.36,0.04919,1.55382,22.1,9.24,69
JPN,Japan,1.233,0.135,0.11652,1.36,0.07794,1.55446,25.2,14.64,70
SVK,Slovakia,1.1685,0.17291,0.14143,1.36,0.05334,1.55477,20.9,10.02,71
AUT,Austria,1.134,0.16659,0.13224,1.36,0.06287,1.55511,18.6,11.81,72
CHE,Switzerland,1.0905,0.16284,0.1243,1.36,0.07581,1.56011,15.7,14.24,73
GRC,Greece,1.2465,0.19145,0.16705,1.36,0.04174,1.56879,26.1,7.84,74
BGR,Bulgaria,1.2135,0.18156,0.15423,1.36,0.05489,1.56911,23.9,10.31,75
ITA,Italy,1.215,0.19044,0.16197,1.36,0.05212,1.57409,24.0,9.79,76
SGP,Singapore,1.2825,0.15244,0.13685,1.36,0.07735,1.5742,28.5,14.53,77
HUN,Hungary,1.209,0.19222,0.16268,1.36,0.05712,1.5798,23.6,10.73,78
CZE,Czechia,1.1415,0.2028,0.16205,1.36,0.05819,1.58023,19.1,10.93,79
SEN,Senegal,1.341,0.18,0.16897,1.36,0.0559,1.58486,32.4,10.5,80
HRV,Croatia,1.2105,0.21776,0.18452,1.36,0.05201,1.59653,23.7,9.77,81
DEU,Germany,1.14,0.22016,0.17569,1.36,0.06143,1.59712,19.0,11.54,82
IRL,Ireland,1.0845,0.24928,0.18924,1.36,0.0535,1.60274,15.3,10.05,83
CYP,Cyprus,1.275,0.22756,0.2031,1.36,0.05478,1.61788,28.0,10.29,84
GRL,Greenland,1.08,0.263,0.19883,1.36,0.0592,1.61803,-3.1,11.12,85
