iso,country,G,R,cr_pe,theta,pue,constr_per_w,mw,omega_share,xi_old,xi_new,c_cr,c_adj_old,c_adj_new,rank_old,rank_new,rank_cr
MNE,Montenegro,0.523584899902344,0.8,0.0508,21.7,1.18,10.28,5.0,4.040469340918641e-05,0.7530400432210367,0.6472000617443382,1.5500217063155264,1.6129753716591104,1.6546628557693412,13,31,5
CHN,China,0.5283018875122071,0.95,0.079,20.9,1.169,6.12,31900.0,0.2577819439506093,0.7959077823919809,0.7084396891314014,1.5727066063155264,1.6277475518649827,1.6610446370310814,21,32,17
SVN,Slovenia,0.825471725463867,0.95,0.147,21.7,1.181,10.17,40.0,0.00032323754727349126,0.9198847378371482,0.8855496254816404,1.6295858063155264,1.6532336478901013,1.6646782795116595,39,33,67
CHL,Chile,0.7122641754150391,0.9,0.13,13.4,1.08,8.61,200.0,0.0016161877363674564,0.8604538351711335,0.8006483359587623,1.6063409063155263,1.6466063109049778,1.6681595961512943,35,34,53
XKX,Kosovo,0.514150924682617,0.7,0.0468,21.0,1.17,9.48,5.0,4.040469340918641e-05,0.719944957305285,0.5999213675789786,1.5463901063155263,1.619649237602554,1.6719840472098315,17,35,3
POL,Poland,0.650943374633789,0.92,0.1188,19.7,1.151,9.16,600.0,0.004848563209102369,0.8417058918683753,0.7738655598119649,1.6037780663155263,1.649988481462434,1.6755800889235555,37,36,45
SAU,Saudi Arabia,0.627358474731445,0.95,0.1,36.0,1.395,11.34,400.0,0.003232375472734913,0.8404029700024673,0.7720042428606676,1.6057109063155264,1.6527409691421402,1.6788492987242662,38,37,50
CZE,Czechia,0.844339599609375,0.95,0.1723,19.1,1.142,10.93,130.0,0.0010505220286388466,0.9269290897846136,0.8956129854065908,1.6457975263155262,1.6684801424480982,1.679334296371805,43,38,77
VNM,Vietnam,0.5047169876098629,0.85,0.073,28.0,1.275,8.76,250.0,0.0020202346704593205,0.7584916851367186,0.6549881216238838,1.5732134063155263,1.641719256454485,1.6865439625678773,34,39,19
GEO,Georgia,0.551886787414551,0.8,0.0911,19.4,1.146,9.58,15.0,0.00012121408022755924,0.765123231699411,0.6644617595705872,1.5811413263155263,1.6496223316620253,1.6937919198567226,36,40,24
IRL,Ireland,0.938679275512695,0.98,0.228,15.3,1.085,10.05,1260.0,0.010181982739114975,0.9713819986424987,0.9591171409178554,1.6812269063155263,1.690747738531506,1.6950020224869429,53,41,83
THA,Thailand,0.575471687316895,0.85,0.108,29.3,1.295,10.03,300.0,0.0024242816045511846,0.7895752830438714,0.6993932614912448,1.6059629063155263,1.6720297010887357,1.7125138495300831,44,42,52
SVK,Slovakia,0.688679275512695,0.92,0.1644,20.9,1.169,10.02,40.0,0.00032323754727349126,0.8571863399268893,0.7959804856098418,1.6425894263155263,1.6899940073776218,1.7155175590147542,52,43,76
IDN,Indonesia,0.46698112487793,0.7,0.067,26.4,1.25,11.21,500.0,0.004040469340918641,0.7002180978330814,0.571740139761545,1.5666859063155263,1.6560037910333276,1.7229556994063366,41,44,15
IND,India,0.561320762634277,0.7,0.09,30.2,1.308,6.64,3600.0,0.029091379254614216,0.7387858493428849,0.6268369276326929,1.5904649063155263,1.672636503840455,1.7288176211084707,45,45,37
ARG,Argentina,0.377358474731445,0.75,0.06,22.3,1.189,10.1,150.0,0.0012121408022755923,0.6723966158060597,0.5319951654372281,1.5579989063155264,1.6554121946772578,1.7338876299205763,40,46,9
ITA,Italy,0.6084905624389649,0.95,0.162,24.0,1.215,9.79,850.0,0.00686879787956169,0.8322145777929595,0.7603065397042279,1.6458419063155263,1.7038623470487537,1.7365674493632182,60,47,78
ROU,Romania,0.6415093994140619,0.85,0.1564,22.1,1.186,9.24,100.0,0.0008080938681837282,0.8169029549692637,0.738432792813234,1.6379041863155264,1.7006270315788745,1.7370300998881343,59,48,73
GRL,Greenland,0.995283050537109,0.85,0.263,-3.1,1.08,11.12,5.0,4.040469340918641e-05,0.9438442284813198,0.9197774692590283,1.7068889063155264,1.7276430783242245,1.7373135099708599,70,49,85
BRA,Brazil,0.419811325073242,0.7,0.063,27.3,1.265,10.75,1200.0,0.009697126418204739,0.6794671059527058,0.5420958656467225,1.5638474063155263,1.660925457369045,1.7376736520325515,42,50,13
CYP,Cyprus,0.71698112487793,0.95,0.185,28.0,1.275,10.29,20.0,0.00016161877363674563,0.8777150799751348,0.8253072571073354,1.6731734063155264,1.717075474014337,1.7398732523070726,66,51,81
ARM,Armenia,0.490566024780273,0.8,0.111,19.8,1.152,9.76,10.0,8.080938681837282e-05,0.7385223845071844,0.6264605492959779,1.5975713063155264,1.6823711845474112,1.7403841033135878,48,52,42
