iso,country,cj_cr,rank_cr,G_RoL,G_RegQ,R_grid,BIT_G7,BIT_score,ICSID,FDI_raw,FDI_score,xi_raw_v26,xi_eff_v26,rank_v26,xi_eff_A,adj_cost_A,rank_A,delta_A,xi_eff_B,adj_cost_B,rank_B,delta_B,xi_eff_C,adj_cost_C,rank_C,delta_C,shift_A,shift_B,shift_C
GEO,Georgia,1.4809132264724583,26,0.551886787414551,0.797169799804688,0.8,4,0.5714285714285714,1,6.86202066832702,0.9615217515426085,0.7141621546710881,0.8570810773355441,45,0.8987968453335984,1.647661798281903,27,-1,0.8722040749506839,1.6978976239662626,55,-29,0.9676799468795739,1.5303750286940228,5,21,18,-10,40
USA,United States of America,1.4851940657628986,27,0.886792449951172,0.905660400390625,0.95,7,1.0,1,1.32618252590589,0.3827138674135017,0.9329729387900143,0.9664864693950072,13,0.9560884949840338,1.5534064823023528,11,16,0.9862032518131982,1.505971576378676,2,25,0.7193166553893529,2.0647291490268502,54,-27,2,11,-41
BIH,Bosnia and Herz.,1.486006748631558,28,0.396226425170898,0.46698112487793,0.75,4,0.5714285714285714,1,4.0920266922729,0.7971868589830878,0.5313536805784015,0.7656768402892007,73,0.7506880440091018,1.9795263298659125,62,-34,0.8331192705516297,1.7836662782360497,68,-40,0.8949619926063067,1.6604132476106743,19,9,11,5,54
KEN,Kenya,1.486973629044517,29,0.410377349853516,0.377358474731445,0.6,5,0.7142857142857143,1,0.472521238226254,0.2595970437374071,0.6,0.8,63,0.7022710288745502,2.117378573095234,72,-43,0.8426154900927136,1.7647119552488932,64,-35,0.6471795507599389,2.2976214673323114,69,-40,-9,-1,-6
TUR,Turkey,1.4889262961370715,30,0.325471687316895,0.438679237365723,0.85,6,0.8571428571428571,1,0.933806495534912,0.32299365219679194,0.6766891171549761,0.838344558577488,51,0.7422188071355278,2.006047653094832,66,-36,0.8986053489292392,1.656930150606434,43,-13,0.6867229638588916,2.1681615068911797,59,-29,-15,8,-8
NGA,Nigeria,1.489085536261796,31,0.202830181121826,0.169811325073242,0.5,4,0.5714285714285714,1,0.384195197914633,0.24842270544351056,0.4571683300264887,0.7285841650132443,81,0.5998359967508707,2.4824877872080364,80,-49,0.7828530620185293,1.902126476228244,78,-47,0.6379520310942666,2.3341653661758817,73,-42,1,3,8
MAR,Morocco,1.4914425581798125,32,0.48584907531738303,0.509433975219727,0.75,6,0.8571428571428571,1,0.725864122672683,0.29340614311755364,0.7072818662802007,0.8536409331401004,47,0.7699317147708072,1.9371101742753696,60,-28,0.8986409253095093,1.6596646293024444,44,-12,0.6688799205555355,2.2297612954820067,63,-31,-13,3,-16
ZAF,South Africa,1.492879993939186,33,0.542452812194824,0.443396224975586,0.65,3,0.42857142857142855,1,1.0127377916456,0.33462443138007897,0.5200696464524074,0.7600348232262037,74,0.7347903268508893,2.0317088282003684,67,-34,0.7928944810468003,1.8828230358827145,77,-44,0.684833636077753,2.179916282280403,61,-28,7,-3,13
AUS,Australia,1.497279461655362,34,0.919811325073242,0.995283050537109,1.0,5,0.7142857142857143,1,2.03614704389564,0.49900566072185387,0.9829743023715227,0.9914871511857614,7,0.9979945859862589,1.5002881605571932,3,31,0.9380836198344148,1.596104472988936,20,14,0.7769234004112309,1.9271905838630188,39,-5,4,-13,-32
ISL,Iceland,1.4974736641802688,35,0.96698112487793,0.872641525268555,1.0,4,0.5714285714285714,1,5.95630440129812,0.931734681702989,1.0,1.0,5,0.945328508735179,1.5840775458933776,13,22,0.8932550257394656,1.6764234412681993,48,-13,0.9708346611450765,1.5424600337343066,6,29,-8,-43,-1
