Country,iso3,p_E,theta,PUE,Constr_per_W,k_bar_MW,omega_pct,xi,c_adj,mu,Cost_Rec_pE
Moldova,MDA,0.1348,24.23,1.21845,9.447333388236098,20.0,0.016161882291703754,0.5947886888348203,1.888109241397509,0.0,0.1348
Albania,ALB,0.1474,23.72,1.2108,9.618127785705427,5.0,0.0040404705729259385,0.6050105373000876,1.8971149838514916,0.0,0.1474
Kenya,KEN,0.088,27.35,1.26525,9.74,60.0,0.048485636814504234,0.49621206143352625,1.9219151001123316,0.0,0.088
Azerbaijan,AZE,0.062,24.42,1.2213,9.8885531102645,10.0,0.008080941145851877,0.45245660774025365,1.9230810753902499,0.0,0.062
Ghana,GHA,0.12,30.68,1.3152000000000001,10.856462614124387,15.0,0.012121411718777815,0.5451328346688377,1.9419043855388078,0.0,0.12
Philippines,PHL,0.115,27.81,1.2721500000000001,8.781470323530193,200.0,0.16161877261400237,0.510733852106935,1.943800618354588,0.0,0.115
Algeria,DZA,0.033,35.76,1.3914,8.428216429346818,25.0,0.020202342804022656,0.43000658207668496,1.958463675092665,0.0,0.065
Ethiopia,ETH,0.03,26.48,1.2522,8.015668109842213,10.0,0.008080941145851877,0.3845482573764727,1.9730661656438409,0.0,0.05
Ukraine,UKR,0.0568,22.48,1.1922000000000001,9.951068447481207,175.0,0.14141642980997973,0.3854671314640027,2.007603622512046,0.0,0.0568
Mexico,MEX,0.095,26.65,1.25475,10.4,900.0,0.7272844817933142,0.4247640908672954,2.037982557505434,0.0,0.095
Uzbekistan,UZB,0.071,29.85,1.30275,8.384001192336429,25.0,0.020202342804022656,0.4022343198234371,2.045984076103962,0.0,0.09
Senegal,SEN,0.18,32.44,1.3416000000000001,10.706246931875206,10.0,0.008080941145851877,0.528213446620237,2.0699650905412508,0.0,0.18
Kyrgyzstan,KGZ,0.038,13.34,1.08,7.985369247493355,5.0,0.0040404705729259385,0.2877203867875994,2.1269980825663746,0.0,0.038
Iran,IRN,0.005,31.25,1.32375,8.3859021211799,10.0,0.008080941145851877,0.3468184141451215,2.146387857602061,0.0,0.085
Russia,RUS,0.04,16.91,1.1086500000000001,10.173151271991117,2000.0,1.6161877362006305,0.3228703768787217,2.1466168366690055,0.0,0.065
Nigeria,NGA,0.042,31.39,1.32585,10.5,100.0,0.0808093913373047,0.31845736066373626,2.2377560288275684,0.0,0.08
Pakistan,PAK,0.134,29.92,1.3038,6.531196366415683,50.0,0.04040469566865235,0.34168009305175234,2.2567550798263927,0.0,0.134
Belarus,BLR,0.099,19.82,1.1523,11.034588340917653,35.0,0.028283283949874536,0.3009419213719856,2.3170436542596606,0.0,0.099
Tajikistan,TJK,0.074,16.84,1.1076000000000001,7.4827691108886745,5.0,0.0040404705729259385,0.253745530187767,2.3323004924196216,0.0,0.074
Turkmenistan,TKM,0.01,32.25,1.33875,9.384218183292239,5.0,0.0040404705729259385,0.22254954943623095,2.5513078164480714,0.0,0.07
